date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2018-01-02,2317,28602316,2717808150,95.4,95.7,94.3,95.0,-0.2,13347
2018-01-03,2317,58507086,5524486037,95.0,95.3,94.0,94.0,-1.0,24224
2018-01-04,2317,53756400,4991911000,93.6,93.9,92.5,92.6,-1.4,27277
2018-01-05,2317,59252732,5464513791,92.3,93.0,91.6,93.0,0.4,24457
2018-01-08,2317,50081699,4603246988,92.3,92.6,91.7,91.8,-1.2,27073
2018-01-09,2317,37896431,3486758152,92.5,92.6,91.8,91.8,0.0,15686
2018-01-10,2317,56026125,5095360964,91.2,91.5,90.6,90.8,-1.0,27107
2018-01-11,2317,66709480,6098320187,91.2,92.5,90.9,91.4,0.6,27221
2018-01-12,2317,48985693,4502608788,91.6,92.4,91.5,91.8,0.4,20294
2018-01-15,2317,42031735,3907221469,92.7,93.3,92.4,93.3,1.5,17154
2018-01-16,2317,40639740,3794403900,93.6,93.7,93.0,93.4,0.1,16850
2018-01-17,2317,37263455,3468798922,92.8,93.5,92.6,93.4,0.0,17251
2018-01-18,2317,56382825,5319182705,94.1,94.8,93.8,93.8,0.4,24836
2018-01-19,2317,101433926,9732794022,94.0,96.9,94.0,96.9,3.1,48573
2018-01-22,2317,61170194,5923959151,97.2,97.4,96.1,96.6,-0.3,27450
2018-01-23,2317,50229901,4827590551,96.0,96.9,95.5,96.9,0.3,21943
2018-01-24,2317,42324664,4066850522,96.8,96.8,95.8,95.9,-1.0,18752
2018-01-25,2317,56900448,5450068563,95.2,96.5,95.2,95.4,-0.5,20393
2018-01-26,2317,45822009,4377351726,95.2,96.1,95.0,95.4,0.0,17664
2018-01-29,2317,46205080,4384712966,95.4,95.7,94.5,94.7,-0.7,17826
2018-01-30,2317,38358773,3607754561,94.2,94.9,93.6,93.6,-1.1,16613
2018-01-31,2317,56868154,5261949172,92.1,93.0,92.1,92.2,-1.4,25346
2018-02-01,2317,40795169,3825133269,92.6,94.8,92.6,93.5,1.3,18327
2018-02-02,2317,47972940,4542738388,93.8,95.4,93.7,95.2,1.7,21046
2018-02-05,2317,61248936,5692109488,92.5,93.5,92.5,92.8,-2.4,23317
2018-02-06,2317,143785639,12905089773,90.6,91.2,88.1,89.2,-3.6,70723
2018-02-07,2317,72117501,6523943797,91.3,91.3,90.0,90.0,0.8,28842
2018-02-08,2317,40492147,3623003430,90.0,90.4,89.0,89.0,-1.0,19770
2018-02-09,2317,67539890,5875929519,86.1,88.0,86.1,87.5,-1.5,34053
2018-02-12,2317,63847761,5609624325,87.7,88.6,87.6,87.6,0.1,28595
2018-02-21,2317,61995455,5482551405,88.2,89.0,88.2,88.2,0.6,23961
2018-02-22,2317,45588322,4004702580,87.8,88.4,87.6,87.9,-0.3,19113
2018-02-23,2317,53746088,4772559540,88.1,89.7,88.1,88.9,1.0,15390
2018-02-26,2317,41008502,3657402773,89.0,89.8,88.8,88.8,-0.1,14047
2018-02-27,2317,41590606,3692299392,89.5,89.7,88.1,88.1,-0.7,14413
2018-03-01,2317,42073991,3698227165,87.8,88.3,87.5,87.9,-0.2,16467
2018-03-02,2317,28180553,2461227316,87.2,87.8,87.0,87.8,-0.1,13846
2018-03-05,2317,31341174,2738562304,87.7,88.1,87.0,87.0,-0.8,15273
2018-03-06,2317,35392520,3124639407,88.3,88.8,87.8,88.2,1.2,14546
2018-03-07,2317,44181640,3940688349,88.6,90.1,88.3,88.5,0.3,21638
2018-03-08,2317,33448190,2990943927,89.4,89.9,88.6,89.4,0.9,14864
2018-03-09,2317,87372802,8001130684,91.0,92.3,90.3,91.9,2.5,38336
2018-03-12,2317,88739231,8336163178,93.9,94.5,93.2,94.3,2.4,35226
2018-03-13,2317,86118224,8235473275,95.0,96.5,94.8,95.2,0.9,35406
2018-03-14,2317,49836069,4670636869,94.1,94.4,93.3,93.3,-1.9,22895
2018-03-15,2317,41628707,3886535793,92.8,94.7,92.3,93.4,0.1,16211
2018-03-16,2317,71628333,6668268394,94.1,94.1,92.8,92.8,-0.6,17413
2018-03-19,2317,29752391,2763669263,92.6,93.5,92.4,92.9,0.1,11077
2018-03-20,2317,27906678,2584515023,92.7,92.9,92.4,92.6,-0.3,11074
2018-03-21,2317,28202714,2608174566,92.2,92.9,92.2,92.4,-0.2,11232
2018-03-22,2317,25353175,2354104044,93.0,93.4,92.4,92.8,0.4,9287
2018-03-23,2317,58645094,5331385445,91.0,91.6,90.4,90.4,-2.4,28472
2018-03-26,2317,32305086,2905271284,89.7,90.3,89.7,90.2,-0.2,15108
2018-03-27,2317,30083466,2740851377,91.0,91.5,90.7,91.2,1.0,11166
2018-03-28,2317,23082576,2088647728,90.9,90.9,90.1,90.1,-1.1,10705
2018-03-29,2317,30403437,2739496880,90.0,90.6,89.7,90.0,-0.1,12989
2018-03-30,2317,34489126,3160650158,90.9,92.3,90.9,91.4,1.4,14874
2018-03-31,2317,136508837,12140468093,90.1,90.5,88.0,88.5,-2.9,80522
2018-04-02,2317,54717977,4835468263,88.5,89.4,87.5,88.1,-0.4,28316
2018-04-03,2317,59828974,5215608752,87.1,87.5,86.9,87.2,-0.9,28728
2018-04-09,2317,57130701,4977483453,86.6,88.0,86.5,87.4,0.2,22915
2018-04-10,2317,35830562,3121816992,86.8,87.5,86.8,87.0,-0.4,16517
